,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,V,PP,BAC,Contract Status Change Date,MLS
1,P1-5364,A,CONDO/A,600 W,9th Street ST   #1212,LA,,STD,"$699,000.00",$927.06,"1/1,0,0,0",754/P,1983,,357/357,Y,N,2,06/22/21,CRMLSF
1,ML81895737,A,CONDO/D,540,Kelton AVE   #502,LA,,STD,"$825,000.00",$692.70,"2/2,0,1,0",1191/A,1964/ASR,,4/4,,,2.5,06/10/22,MLSL
1,P1-9208,A,CONDO/A,940,Elden AVE   #407,LA,,STD,"$859,000.00",$596.53,"3/2,0,0,0",1440/P,2009,"24,653/0.56",50/75,Y,N,2.25,04/25/22,CRMLSF
1,P1-9845,A,CONDO/A,641,Wilcox AVE   #2C,LA,,STD,"$1,488,000.00",$902.91,"2/1,1,1,0",1648/A,1972/ASR,,9/9,Y,N,2.5,06/05/22,CRMLSF
1,P1-9514,A,TWNHS/A,6564 W,85th PL,LA,,STD,"$1,575,000.00",$706.28,"3/3,0,0,0",2230/A,2016/ASR,"1,707/0.03",22/22,Y,N,2.5,05/01/22,CRMLSF
1,P1-9571,A,SFR/D,6067 W,75th ST,LA,,STD,"$2,195,000.00",$828.61,"5/3,0,0,0",2649/A,1947/ASR,"6,366/0.14",28/28,N,N,2,05/17/22,CRMLSF
1,22165571,A,CONDO,6616,SPRINGPARK AVE   #4,LA,103,STD,"$599,000.00",$777.92,"2/1,0,0,0",770/,1964,"9,363/0.21",6/6,N,N,2,06/07/22,CLAW
1,22165809,A,TWNHS,5429 S,LA CIENEGA BLVD  ,LA,103,STD,"$1,099,000.00",$652.23,"3/3,0,0,0",1685/,1973,"9,250/0.2124",6/6,N,N,2,06/08/22,CLAW
1,22166987,A,SFR,6130,FLORES AVE  ,LA,103,STD,"$1,399,000.00",$746.13,"3/1,2,0,0",1875/AP,1950,"6,639/0.15",2/2,N,N,2.5,06/11/22,CLAW
1,22166457,A,SFR,6724,WOOSTER AVE  ,LA,103,STD,"$1,699,999.00",$602.84,"4/3,0,0,0",2820/,1963,"9,667/0.2219",4/4,N,N,2.25,06/10/22,CLAW
